,image_id,meme_text,target_group,attack_type,intervention
0,5666.jpg,"Do you date boys?No,I am straight i only date girls So how many girls did you date?None,I never date boys.",gender,mocking,"Making derogatory comments about someone's gender based on their sexual orientation is unfair and hurtful. We should strive to create a society that values and respects all individuals, regardless of their sexual orientation."
1,5194.jpg,bachao..bachao ye bhed bhav kyu?,others,mocking,"Mocking others based on their appearance or behavior is unfair and hurtful. We should strive to treat others with kindness and respect, embracing their unique qualities."
2,4878.jpg,Ankit singh ankulicious couples after taking corner seats in theaters:Ankit singh and his wife Siddhi singh.,individual,mocking,"Mocking someone's personal relationship choices is unfair and disrespectful. We should strive to treat others with kindness and respect, regardless of their personal choices."
3,2988.jpg,when you're in train toilet and there is no kundi in the toilet and you're in a hurry to get to your destination,others,mocking,"Mocking someone for their inability to use a toilet in a hurry is unfair and disrespectful. It is important to treat others with kindness and empathy, regardless of their circumstances."
4,5154.jpg,"pakistani NGO'S arranges a rally of over 20,000 people to raise awareness about corona virus. Maarenge bhi hum aur bachaayenge bhi hum",nationality,mocking,Mocking individuals based on their nationality perpetuates harmful stereotypes and undermines their dignity. We should strive to embrace diversity and treat all individuals with respect and empathy.
5,5114.jpg,yeh bol rha hai thode se democrats khareed ke trump ki sarkar banwa dete hai.,others,mocking,Mocking someone based on their political affiliation is unfair and disrespectful. We should strive to promote a society that values political neutrality and promotes understanding.
6,178.png,"my fragile heart at my sex drive - stay back, slut",gender,slurs,Using derogatory language towards individuals based on their gender is unfair and perpetuates harmful stereotypes. We should strive to create a society that values and respects individuals regardless of their gender.
7,4230.jpg,I never stalk my ex profile but when I do I do it all the time,individual,mocking,"Mocking someone's personal information and privacy is disrespectful and unfair. We should strive to treat others with respect and privacy, regardless of their personal choices."
8,2970.jpg,full on swag,,,
9,2410.jpg,rozgar_CA Memeswalaladka *When you see your friend making videos on tiktok* tumhe to fansi hogi fansi,others,mocking,"Mocking someone's creative pursuits and belittling their efforts is unfair and unkind. Let's encourage and support others in their creative endeavors, regardless of their level of success."
