,img_id,meme_text,response
0,5666.jpg,"Do you date boys?No,I am straight i only date girls So how many girls did you date?","target_group: genderattack_type: Mockingintervention: Mocking someone's gender is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of inclusivity."
1,5194.jpg,bachao..bachao ye bhed bhav kyu?,"target_group: individualattack_type: Mockingintervention: Mocking someone's sex or gender is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of equality and respect."
2,4878.jpg,Ankit singh ankulicious couples after taking corner seats in theaters:,target_group: individualattack_type: Mockingintervention: Mocking individuals based on their seating preference is unfair and disrespectful. We should strive to create a society that values individual preference and respects individual preferences.
3,2988.jpg,when you're in train toilet and there is no kundi,target_group: individualattack_type: Mockingintervention: Mocking someone's toilet experience is unfair and disrespectful. We should strive to create a culture that values and respects the dignity of all individuals.
4,5154.jpg,"pakistani NGO'S arranges a rally of over 20,000 people to raise awareness about corona virus. Maarenge bhi hum aur bachaayenge bhi hum",target_group: individualattack_type: Mockingintervention: Mocking individuals for their actions is unfair and disrespectful. We should strive to create a society that values and respects individuals for their unique qualities.
5,5114.jpg,yeh bol rha hai thode se democrats khareed ke trump ki sarkar banwa dete hai.,target_group: individualattack_type: Mockingintervention: Mocking individuals based on their political affiliation is unfair and disrespectful. We should strive to create a society that values diversity and respects all individuals.
6,178.png,"my fragile heart at my sex drive - stay back, slut",target_group: genderattack_type: Slursintervention: Using derogatory language towards women is unfair and disrespectful. We should strive to create a society that values equality and respects all genders.
7,4230.jpg,I never stalk my ex profile but when I do I do it all the time,target_group: individualattack_type: Mockingintervention: Mocking someone's online activity is unfair and disrespectful. We should strive to create a society that values and respects individuals' online activities.
8,2970.jpg,full on swag,"target_group: individualattack_type: Mockingintervention: Mocking someone's appearance based on their appearance is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their appearance."
9,2410.jpg,rozgar_CA Memeswalaladka *When you see your friend making videos on tiktok* tumhe to fansi hogi fansi,target_group: individualattack_type: Mockingintervention: Mocking someone's video content is unfair and disrespectful. We should strive to create a culture that values and respects individuals.
10,1908.jpg,When u see a hot girl When u see a Auntie's,"target_group: genderattack_type: Mockingintervention: Mocking someone's gender and comparing them to someone else's is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of inclusivity."
11,1226.png,i guess the jury liked pudding cause they pudding my ass in jail,"target_group: individualattack_type: Mockingintervention: Mocking someone's character based on their appearance is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their appearance."
12,759.jpg,Me in every semester *Me Attending Lesson Take Notes Study Please God,target_group: individualattack_type: Mockingintervention: Mocking someone's academic performance is unfair and disrespectful. We should strive to create a society that values and respects the contributions of all individuals.
13,1154.png,kenyan shit,target_group: individualattack_type: Mockingintervention: Mocking someone's nationality is unfair and disrespectful. We should strive to create a society that values diversity and respects all individuals.
14,746.png,My mom: I'm gonna give away all the toys you don't use anymore Me at 24 years old:,target_group: individualattack_type: Mockingintervention: Mocking someone's personal belongings is unfair and disrespectful. We should strive to create a society that values and respects the personal belongings of all individuals.
15,4296.jpg,Talented actors the isliye jaane diya Star-kids hote toh meri Movie mein hote.,"target_group: individualattack_type: Mockingintervention: Mocking someone's talent and promoting their own is unfair and disrespectful. We should strive to promote and celebrate the talents of all individuals, regardless of their background."
16,1820.jpg,Tarun Kumar I;m your big fan Love from India........... It means lots of love ILLUSION 100 SPEECH 100,target_group: individualattack_type: Mockingintervention: Mocking someone's voice and expressing love is unfair and hurtful. We should strive to create a society that values and respects all individuals.
17,5214.jpg,mom-chup chap khana kha vrna maar ke ga#d tod dungi tujhe kya lagta hai karwachauth ka natak mujhe nahi pata....? Nibbi:,"target_group: individualattack_type: Mockingintervention: Mocking someone's sex and sex is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of equality and respect."
18,1530.png,"me, the first time my sweet, beautiful baby boy ever brings a girl home to meet me. why don't you go back to your home on whore island?",target_group: genderattack_type: Mockingintervention: Mocking someone's gender is unfair and disrespectful. We should strive to create a society that values equality and respects all genders.
19,1217.jpg,SCOOPWHOOP.com Pimples Zero Blackheads? Zero amount of fucks your crush gives about you ZERO,"target_group: individualattack_type: Mockingintervention: Mocking someone's skin condition is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their skin condition."
